,Date,Total Responden,Total Rating,CSAT [After]
274,2024-11-30,17,66,3.88
275,2024-12-01,21,93,4.43
276,2024-12-02,58,247,4.07
277,2024-12-03,41,173,3.99
278,2024-12-04,23,97,3.94
279,2024-12-05,32,118,3.96
280,2024-12-06,29,124,4.28
281,2024-12-07,24,104,4.33
282,2024-12-08,35,135,3.86
283,2024-12-09,16,62,3.88
284,2024-12-10,28,100,3.57
285,2024-12-11,38,152,4.00
286,2024-12-12,32,126,3.94
287,2024-12-13,23,101,4.39
288,2024-12-14,16,62,3.88
289,2024-12-15,24,87,3.63
290,2024-12-16,33,134,4.06
291,2024-12-17,23,91,3.96
292,2024-12-18,30,126,4.20
293,2024-12-19,30,121,4.03
294,2024-12-20,23,107,4.65
295,2024-12-21,33,126,3.82
296,2024-12-22,21,83,3.95
297,2024-12-23,39,154,3.95
298,2024-12-24,35,137,3.91
299,2024-12-25,34,135,3.97
300,2024-12-26,30,119,3.97
301,2024-12-27,29,111,3.83
302,2024-12-28,25,103,4.12
303,2024-12-29,34,127,3.74
304,2024-12-30,22,83,3.77
305,2024-12-31,35,142,4.06
306,2025-01-01,47,174,3.70
307,2025-01-02,36,147,4.08
308,2025-01-03,47,191,4.06
309,2025-01-04,38,150,3.95
310,2025-01-05,31,109,3.52
311,2025-01-06,49,188,3.84
312,2025-01-07,71,272,3.83
313,2025-01-08,101,391,3.87
314,2025-01-09,84,328,3.90
315,2025-01-10,55,223,4.05
316,2025-01-11,31,125,4.03
317,2025-01-12,40,163,4.08
318,2025-01-13,47,182,3.87
319,2025-01-14,29,117,4.03
320,2025-01-15,33,130,3.94
321,2025-01-16,31,126,4.06
322,2025-01-17,22,87,3.95
323,2025-01-18,20,81,4.05
324,2025-01-19,18,84,4.67
325,2025-01-20,23,90,3.91
326,2025-01-21,24,101,4.21
327,2025-01-22,30,122,4.07
328,2025-01-23,18,67,3.72
329,2025-01-24,25,92,3.68
330,2025-01-25,29,111,3.83
331,2025-01-26,22,82,3.73
332,2025-01-27,24,95,3.96
333,2025-01-28,21,74,3.52
334,2025-01-29,23,96,4.17
335,2025-01-30,28,108,3.86
336,2025-01-31,35,138,3.94
337,2025-02-01,36,142,3.94
338,2025-02-02,29,124,4.28
339,2025-02-03,35,145,4.14
340,2025-02-04,47,175,3.72
341,2025-02-05,37,159,4.30
342,2025-02-06,32,127,3.97
343,2025-02-07,31,118,3.81
344,2025-02-08,19,70,3.68
345,2025-02-09,26,98,3.77
346,2025-02-10,21,65,3.10
347,2025-02-11,39,157,4.03
348,2025-02-12,25,98,3.92
349,2025-02-13,34,141,4.15
350,2025-02-14,26,105,4.04
351,2025-02-15,17,57,3.35
352,2025-02-16,20,71,3.55
353,2025-02-17,25,107,4.28
354,2025-02-18,18,76,4.22
355,2025-02-19,25,88,3.52
356,2025-02-20,18,52,2.89
357,2025-02-21,17,71,4.18
358,2025-02-22,28,117,4.18
359,2025-02-23,18,66,3.67
360,2025-02-24,23,92,4.00
361,2025-02-25,31,117,3.77
362,2025-02-26,26,113,4.35
363,2025-02-27,25,95,3.80
364,2025-02-28,29,99,3.41
365,2025-03-01,24,100,4.17
366,2025-03-02,23,89,3.87
367,2025-03-03,30,102,3.40
368,2025-03-04,40,145,3.63
369,2025-03-05,32,122,3.81
370,2025-03-06,16,52,3.25
371,2025-03-07,16,65,4.06
372,2025-03-08,18,72,4.00
373,2025-03-09,18,75,4.17
374,2025-03-10,31,118,3.81
375,2025-03-11,44,162,3.68
376,2025-03-12,71,212,2.99
377,2025-03-13,20,80,4.00
378,2025-03-14,20,80,4.00
379,2025-03-15,29,120,4.14
380,2025-03-16,16,59,3.69
381,2025-03-17,21,74,3.52
382,2025-03-18,15,51,3.40
383,2025-03-19,26,94,3.62
384,2025-03-20,51,147,2.88
385,2025-03-21,86,284,3.30
386,2025-03-22,18,75,4.17
387,2025-03-23,16,64,4.00
388,2025-03-24,18,74,4.11
389,2025-03-25,23,86,3.74
390,2025-03-26,31,104,3.35
391,2025-03-27,29,116,4.00
392,2025-03-28,36,142,3.94
393,2025-03-29,17,68,4.00
394,2025-03-30,17,61,3.59
395,2025-03-31,14,55,3.93
396,2025-04-01,16,57,3.56
397,2025-04-02,20,67,3.35
398,2025-04-03,11,35,3.18
399,2025-04-04,19,75,3.95
400,2025-04-05,17,74,4.35
401,2025-04-06,29,117,4.03
402,2025-04-07,27,102,3.78
403,2025-04-08,22,92,4.18
404,2025-04-09,17,50,2.94
405,2025-04-10,21,77,3.67
406,2025-04-11,24,94,3.92
407,2025-04-12,22,86,3.91
408,2025-04-13,23,83,3.61
409,2025-04-14,19,87,4.58
410,2025-04-15,17,74,4.35
411,2025-04-16,20,78,3.90
412,2025-04-17,15,63,4.20
413,2025-04-18,20,76,3.80
414,2025-04-19,17,70,4.12
415,2025-04-20,22,83,3.77
416,2025-04-21,18,75,4.17
417,2025-04-22,19,79,4.16
418,2025-04-23,27,112,4.15
419,2025-04-24,18,73,4.06
420,2025-04-25,18,63,3.50
421,2025-04-26,21,67,3.19
422,2025-04-27,15,63,4.20
423,2025-04-28,32,131,4.09
424,2025-04-29,18,77,4.28
425,2025-04-30,27,119,4.41
426,2025-05-01,32,122,3.81
427,2025-05-02,29,112,3.86
428,2025-05-03,22,89,4.05
429,2025-05-04,14,61,4.36
430,2025-05-14,24,80,3.33
431,2025-05-16,15,66,4.40
432,2025-05-17,22,76,3.45
433,2025-05-18,35,141,4.03
434,2025-05-19,34,151,4.44
435,2025-05-20,26,105,4.04
436,2025-05-21,29,110,3.79
437,2025-05-22,21,86,4.10
438,2025-05-23,26,90,3.46
439,2025-05-24,18,61,3.39
440,2025-05-25,15,51,3.40
441,2025-05-26,47,199,4.23
442,2025-05-27,31,137,4.42
443,2025-05-28,27,106,3.93
444,2025-05-29,19,79,4.16
445,2025-05-30,27,100,3.70
446,2025-05-31,23,78,3.39
447,2025-06-01,30,125,4.17
448,2025-06-02,43,180,4.19
449,2025-06-03,49,203,4.14
450,2025-06-04,49,195,3.98
451,2025-06-05,30,111,3.70
452,2025-06-06,19,77,4.05
453,2025-06-07,21,74,3.52
454,2025-06-08,26,113,4.35
455,2025-06-09,29,123,4.24
456,2025-06-10,37,151,4.08
457,2025-06-11,30,127,4.23
458,2025-06-12,26,112,4.31
459,2025-06-13,29,98,3.38
460,2025-06-14,26,104,4.00
461,2025-06-15,30,113,3.77
462,2025-06-16,24,99,4.13
463,2025-06-17,19,64,3.37
464,2025-06-18,20,89,4.45
465,2025-06-19,21,83,3.95
466,2025-06-20,25,101,4.04
467,2025-06-21,17,64,3.76
468,2025-06-22,27,96,3.56
469,2025-06-23,43,186,4.33
470,2025-06-24,18,65,3.61
471,2025-06-25,48,197,4.10
472,2025-06-26,22,79,3.59
473,2025-06-27,31,109,3.52
474,2025-06-28,21,84,4.00
475,2025-06-29,23,93,4.04
476,2025-06-30,44,182,4.14
478,2025-07-01,49,170,3.47
479,2025-07-02,37,121,3.27
480,2025-07-03,35,127,3.63
481,2025-07-04,28,108,3.86
482,2025-07-05,59,163,2.76
483,2025-07-06,41,118,2.88
484,2025-07-07,30,109,3.63
485,2025-07-08,41,150,3.66
486,2025-07-09,30,112,3.73
487,2025-07-10,17,66,3.88
488,2025-07-11,37,137,3.70
489,2025-07-12,32,131,4.09
490,2025-07-13,37,147,3.97
491,2025-07-14,35,122,3.49
492,2025-07-15,24,81,3.38
493,2025-07-16,36,153,4.25
494,2025-07-17,16,55,3.44
495,2025-07-18,28,109,3.89
496,2025-07-19,25,83,3.32
497,2025-07-20,30,114,3.80
498,2025-07-21,33,130,3.94
499,2025-07-22,12,38,3.17
500,2025-07-23,19,65,3.42
501,2025-07-24,32,119,3.72
502,2025-07-25,38,127,3.34
503,2025-07-26,31,88,2.84
504,2025-07-27,28,105,3.75
505,2025-07-28,25,99,3.96
506,2025-07-29,34,130,3.82
507,2025-07-30,23,79,3.43
508,2025-07-31,35,129,3.69
509,2025-08-01,28,109,3.89
510,2025-08-02,32,101,3.16
511,2025-08-03,24,82,3.42
512,2025-08-04,29,99,3.41
513,2025-08-05,36,144,4.00
514,2025-08-06,30,122,4.07
515,2025-08-07,28,98,3.50
516,2025-08-08,15,59,3.93
517,2025-08-09,18,75,4.17
518,2025-08-10,23,95,4.13
519,2025-08-11,32,124,3.88
520,2025-08-12,31,102,3.29
521,2025-08-13,22,85,3.86
522,2025-08-14,28,107,3.82
523,2025-08-15,28,94,3.36
524,2025-08-16,24,78,3.25
525,2025-08-17,19,74,3.89
526,2025-08-18,22,81,3.68
527,2025-08-19,23,88,3.83
528,2025-08-20,25,89,3.56
529,2025-08-21,17,65,3.82
530,2025-08-22,33,121,3.67
531,2025-08-23,22,83,3.77
532,2025-08-24,23,93,4.04
533,2025-08-25,25,107,4.28
534,2025-08-26,32,112,3.50
535,2025-08-27,19,75,3.95
536,2025-08-28,22,69,3.14
537,2025-08-29,28,99,3.54
